HGNC.symbol	PROBEID
ADD3-AS1	217380_s_at
CHIAP2	1570015_at
DDT	202929_s_at
DDT	202929_s_at
DDT	202929_s_at
SRGAP2B	1568955_at
SRGAP2B	1568957_x_at
SRGAP2B	232095_at
SRGAP2B	228628_at
ERRFI1	224657_at
GOLGA1	203384_s_at
GOLGA1	203383_s_at
GOLGA1	203384_s_at
GOLGA1	203383_s_at
BPIFC	1555773_at
BPIFC	1555773_at
BPIFC	1555773_at
SFMBT1	213370_s_at
SFMBT1	239054_at
ANKRD30A	223864_at
ANKRD30A	223864_at
ANKRD30A	223864_at
ANKRD30A	223864_at
C1orf226	227019_at
PLBD2	228845_at
PLBD2	227853_at
PLBD2	228845_at
CHRNB4	207516_at
CHRNB4	207516_at
MKL1	215292_s_at
MKL1	212748_at
MKL1	215292_s_at
MKL1	212748_at
MKL1	215292_s_at
MKL1	212748_at
MKL1	215292_s_at
MKL1	215291_at
MKL1	1559902_at
MKL1	215292_s_at
MKL1	212748_at
MKL1	215292_s_at
MKL1	212748_at
MKL1	215292_s_at
MKL1	212748_at
MKL1	215292_s_at
MKL1	212748_at
SNORD68	208929_x_at
SNORD68	212191_x_at
TTC9C	1569189_at
TTC9C	1569189_at
TTC9C	226175_at
TTC9C	226175_at
TTC9C	226175_at
IL2RG	204116_at
IL2RG	204116_at
IL2RG	204116_at
IL2RG	204116_at
IL2RG	204116_at
IL2RG	204116_at
IL2RG	204116_at
ESRP1	225846_at
ESRP1	219121_s_at
ESRP1	225846_at
ESRP1	219121_s_at
ESRP1	225846_at
ESRP1	219121_s_at
ESRP1	225846_at
ESRP1	219121_s_at
ESRP1	225846_at
ESRP1	219121_s_at
ESRP1	219121_s_at
ESRP1	225846_at
ESRP1	219121_s_at
PXN-AS1	227332_at
PXN-AS1	227332_at
PXN-AS1	227332_at
PCGF1	210022_at
PCGF1	210023_s_at
PCGF1	210022_at
PCGF1	210023_s_at
PCGF1	210022_at
PCGF1	210023_s_at
PCGF1	210022_at
PCGF1	210023_s_at
PCGF1	210022_at
RPL23AP45	221634_at
RN7SL725P	234715_at
TARSL2	227611_at
TARSL2	244615_x_at
TARSL2	227611_at
TARSL2	227611_at
TARSL2	244615_x_at
TARSL2	227611_at
TARSL2	244615_x_at
TMEM43	222418_s_at
TMEM43	217795_s_at
SNORA75	200610_s_at
KRT19	201650_at
KRT19	201650_at
KRT19	201650_at
KRT19	201650_at
KRT19	201650_at
KRT19	201650_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MIR663AHG	237670_at
MAJIN	231210_at
MAJIN	231210_at
MAJIN	231210_at
MAJIN	231210_at
MAJIN	231210_at
MIR3682	229926_at
VIM	201426_s_at
VIM	201426_s_at
VIM	201426_s_at
VIM	201426_s_at
VIM	201426_s_at
VIM	201426_s_at
RPGRIP1	206608_s_at
RPGRIP1	206608_s_at
RPGRIP1	206608_s_at
RPGRIP1	206608_s_at
RPGRIP1	206608_s_at
RPGRIP1	206608_s_at
RPGRIP1	206608_s_at
RPGRIP1	206608_s_at
CD52	34210_at
CD52	204661_at
CD52	34210_at
CD52	204661_at
GOLIM4	238002_at
GOLIM4	204324_s_at
GOLIM4	204322_at
GOLIM4	204324_s_at
LGALS2	208450_at
RNU2-52P	232849_at
PPP1R3E	227412_at
PPP1R3E	227409_at
PPP1R3E	227412_at
PPP1R3E	227412_at
PPP1R3E	227409_at
PPP1R3E	227412_at
PPP1R3E	227409_at
PPP1R3E	227409_at
PPP1R3E	229001_at
PPP1R3E	227409_at
PPP1R3E	227409_at
TMEM203	225052_at
TREML3P	1557444_at
TREML3P	1557446_x_at
TREML3P	1567559_s_at
TREML3P	1557444_at
TREML3P	1557446_x_at
TREML3P	1567559_s_at
RAP2B	238622_at
RAP2B	213923_at
RAP2B	214488_at
RAP2B	214487_s_at
DENND2D	221081_s_at
DENND2D	221081_s_at
DENND2D	221081_s_at
DENND2D	235986_at
SLCO4A1	219911_s_at
SLCO4A1	219911_s_at
SLCO4A1	219911_s_at
SLCO4A1	219911_s_at
SLCO4A1	219911_s_at
MED1	225456_at
MED1	203497_at
MED1	225452_at
MED1	203496_s_at
MED1	203497_at
MED1	225452_at
MED1	203496_s_at
MED1	225456_at
PDE4B	211302_s_at
PDE4B	203708_at
PDE4B	211302_s_at
PDE4B	203708_at
PDE4B	211302_s_at
PDE4B	203708_at
PDE4B	211302_s_at
PDE4B	203708_at
PDE4B	211302_s_at
MAD2L1BP	203094_at
MAD2L1BP	203094_at
LRRC41	1555831_s_at
LRRC41	1555831_s_at
LRRC41	201932_at
LRRC41	1555831_s_at
LRRC41	201932_at
LRRC41	1555831_s_at
LRRC41	201932_at
LRRC41	215765_at
LRRC41	1558983_at
LRRC41	1555831_s_at
LRRC41	201932_at
LRRC41	1555831_s_at
LRRC41	201932_at
TBC1D10A	226133_s_at
TBC1D10A	226133_s_at
TBC1D10A	226133_s_at
TBC1D10A	226133_s_at
TBC1D10A	226133_s_at
TBC1D10A	226133_s_at
GRAMD1B	212906_at
GRAMD1B	212906_at
GRAMD1B	212906_at
UQCRC1	201903_at
UQCRC1	201903_at
UQCRC1	201903_at
UQCRC1	201903_at
UQCRC1	201903_at
UQCRC1	201903_at
ZNF598	232367_x_at
ZNF598	225104_at
ZNF598	232367_x_at
ZNF598	225104_at
ZNF598	232367_x_at
ZNF598	225104_at
ZNF598	225104_at
ZNF598	232367_x_at
